address,x,y,z
0,0.05754717,0.23914243,0.001
1,0.0,0.0,0.0
2,0.04875094,0.32301646,0.06262128
3,0.0,0.0,0.0
4,0.03869811,0.40988606,0.12792177
5,0.0,0.0,0.0
6,0.028645283,0.49975112,0.19725801
7,0.0,0.0,0.0
8,0.056290563,0.53869265,0.2346207
9,0.0,0.0,0.0
10,0.12163397,0.52371514,0.2403244
11,0.0,0.0,0.0
12,0.2020566,0.50274664,0.25857773
13,0.0,0.0,0.0
14,0.21210945,0.4053928,0.19400582
15,0.0,0.0,0.0
16,0.21964906,0.31402996,0.13647047
17,0.0,0.0,0.0
18,0.22970189,0.1822279,0.06025095
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.3013283,0.5791319,0.35941145
23,0.0,0.0,0.0
24,0.3817509,0.5626567,0.3947516
25,0.0,0.0,0.0
26,0.44960752,0.49975112,0.3976381
27,0.0,0.0,0.0
28,0.45966038,0.39490855,0.3456167
29,0.0,0.0,0.0
30,0.46468678,0.2975547,0.2990543
31,0.0,0.0,0.0
32,0.4684566,0.2031964,0.26112399
33,0.0,0.0,0.0
34,0.39054716,0.22716042,0.20814505
35,0.0,0.0,0.0
36,0.31640753,0.26310644,0.16990626
37,0.0,0.0,0.0
38,0.2724264,0.34847826,0.19053696
39,0.0,0.0,0.0
40,0.27996603,0.43684557,0.252225
41,0.0,0.0,0.0
42,0.34153962,0.47129384,0.31169772
43,0.0,0.0,0.0
44,0.41693586,0.4323523,0.33529112
45,0.0,0.0,0.0
46,0.5363132,0.3769355,0.39590225
47,0.0,0.0,0.0
48,0.5425962,0.2795817,0.3544153
49,0.0,0.0,0.0
50,0.5438528,0.09236282,0.28637505
51,0.0,0.0,0.0
52,0.5438528,0.1822279,0.31583178
53,0.0,0.0,0.0
54,0.6154793,0.16425487,0.37432203
55,0.0,0.0,0.0
56,0.6996717,0.15526837,0.44577733
57,0.0,0.0,0.0
58,0.75244904,0.22266716,0.51184934
59,0.0,0.0,0.0
60,0.7612453,0.32750973,0.5553079
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.8341283,0.001,0.53237766
65,0.0,0.0,0.0
66,0.93465656,0.072892055,0.63582385
67,0.0,0.0,0.0
68,0.8404113,0.09685608,0.5570273
69,0.0,0.0,0.0
70,0.84669435,0.19870315,0.58669335
71,0.0,0.0,0.0
72,0.86177355,0.30055022,0.6309589
73,0.0,0.0,0.0
74,0.94722265,0.33949175,0.71623266
75,0.0,0.0,0.0
76,0.7687849,0.5282084,0.64480853
77,0.0,0.0,0.0
78,0.77255476,0.63604647,0.6987754
79,0.0,0.0,0.0
80,0.9032415,0.64503294,0.8007637
81,0.0,0.0,0.0
82,0.8177925,0.7184228,0.7723131
83,0.0,0.0,0.0
84,0.7800943,0.7483778,0.761463
85,0.0,0.0,0.0
86,0.78260756,0.8711934,0.8301268
87,0.0,0.0,0.0
88,0.82030565,0.7813283,0.8081839
89,0.0,0.0,0.0
90,0.90575475,0.8472294,0.9002067
91,0.0,0.0,0.0
92,1.0,0.91612595,1.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.6632302,0.6540195,0.63146806
97,0.0,0.0,0.0
98,0.58783394,0.66300595,0.5846724
99,0.0,0.0,0.0
100,0.58783394,0.7768351,0.64981604
101,0.0,0.0,0.0
102,0.5916038,0.8921619,0.7254321
103,0.0,0.0,0.0
104,0.51997733,0.8097856,0.6330044
105,0.0,0.0,0.0
106,0.48981887,0.91762364,0.6881694
107,0.0,0.0,0.0
108,0.41316602,0.9775337,0.69284564
109,0.0,0.0,0.0
110,0.33902642,0.9550675,0.644057
111,0.0,0.0,0.0
112,0.3013283,0.8652024,0.56364363
113,0.0,0.0,0.0
114,0.32143393,0.7588621,0.4951061
115,0.0,0.0,0.0
116,0.38426414,0.6914633,0.47902766
117,0.0,0.0,0.0
118,0.45966038,0.68697,0.5194243
119,0.0,0.0,0.0
120,0.51495093,0.7588621,0.59544796
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.2598604,0.75736433,0.469944
125,0.0,0.0,0.0
126,0.21587925,0.85172266,0.52331567
127,0.0,0.0,0.0
128,0.17064151,0.9430855,0.5805816
129,0.0,0.0,0.0
130,0.1329434,0.9535697,0.5791456
131,0.0,0.0,0.0
132,0.20456982,0.72591156,0.42338255
133,0.0,0.0,0.0
134,0.1631019,0.81577665,0.4789357
135,0.0,0.0,0.0
136,0.12037736,0.9071394,0.54201084
137,0.0,0.0,0.0
138,0.07513963,1.0,0.6059791
139,0.0,0.0,0.0
140,0.047494337,0.91612595,0.5353492
141,0.0,0.0,0.0
142,0.02361887,0.8382429,0.46965152
143,0.0,0.0,0.0
144,0.001,0.7633553,0.40565264
145,0.0,0.0,0.0
146,0.08016604,0.78731936,0.43776706
147,0.0,0.0,0.0
148,0.10529812,0.8652024,0.5049027
149,0.0,0.0,0.0
