address,x,y,z
0.0,0.0132653061224,0.988826815642,0.0454620481234
1.0,0.0,0.991620111732,0.0454620481234
2.0,0.00510204081633,0.921787709497,0.0454620481234
3.0,0.0102040816327,0.857541899441,0.0475202895279
4.0,0.015306122449,0.793296089385,0.0237579262691
5.0,0.0204081632653,0.72625698324,0.0475202895279
6.0,0.0255102040816,0.659217877095,0.0237579262691
7.0,0.0295918367347,0.597765363128,0.0
8.0,0.034693877551,0.530726256983,0.0
9.0,0.0397959183673,0.469273743017,0.0263176217053
10.0,0.0540816326531,0.460893854749,0.0237579262691
11.0,0.0683673469388,0.45530726257,0.0500313143157
12.0,0.0826530612245,0.446927374302,0.0475202895279
13.0,0.0969387755102,0.441340782123,0.0475202895279
14.0,0.112244897959,0.435754189944,0.0500313143157
15.0,0.107142857143,0.502793296089,0.0737510015182
16.0,0.0928571428571,0.508379888268,0.0712868409066
17.0,0.0775510204082,0.513966480447,0.0475202895279
18.0,0.0632653061224,0.519553072626,0.0475202895279
19.0,0.0489795918367,0.525139664804,0.0237579262691
20.0,0.0438775510204,0.59217877095,0.0237579262691
21.0,0.0387755102041,0.656424581006,0.0216596397163
22.0,0.0530612244898,0.653631284916,0.0475202895279
23.0,0.0673469387755,0.648044692737,0.0475202895279
24.0,0.0826530612245,0.642458100559,0.0712868409066
25.0,0.0979591836735,0.639664804469,0.0950573497666
26.0,0.0928571428571,0.709497206704,0.0950573497666
27.0,0.0775510204082,0.715083798883,0.0974763544578
28.0,0.0622448979592,0.715083798883,0.0454620481234
29.0,0.0479591836735,0.720670391061,0.0237579262691
30.0,0.0336734693878,0.723463687151,0.0237579262691
31.0,0.0285714285714,0.787709497207,0.0454620481234
32.0,0.0234693877551,0.854748603352,0.0216596397163
33.0,0.0183673469388,0.921787709497,0.0454620481234
,0.107142857143,0.843575418994,0.116884851161
,0.111224489796,0.77374301676,0.0950573497666
,0.117346938776,0.703910614525,0.121207067831
,0.121428571429,0.631284916201,0.0950573497666
,0.127551020408,0.564245810056,0.121207067831
,0.131632653061,0.491620111732,0.0974763544578
40.0,0.136734693878,0.421787709497,0.0950573497666
41.0,0.15306122449,0.413407821229,0.0950573497666
42.0,0.147959183673,0.486033519553,0.0974763544578
43.0,0.14387755102,0.553072625698,0.116884851161
44.0,0.137755102041,0.625698324022,0.118831602065
45.0,0.133673469388,0.698324022346,0.118831602065
46.0,0.127551020408,0.77094972067,0.118831602065
47.0,0.123469387755,0.843575418994,0.14260939889
48.0,0.117346938776,0.916201117318,0.116884851161
49.0,0.135714285714,0.916201117318,0.164511675337
50.0,0.129591836735,0.988826815642,0.140697183619
51.0,0.14693877551,0.991620111732,0.16639055515
52.0,0.152040816327,0.916201117318,0.168683460245
